[1/45] Electric vehicle (51,357자)
[2/45] Lithium-ion battery (53,596자)
[3/45] Electric vehicle battery (39,549자)
[4/45] Solid-state battery (34,840자)
[5/45] Lithium iron phosphate battery (9,558자)
[6/45] Tesla, Inc. (94,228자)
[7/45] BYD Company (36,486자)
[8/45] Hyundai Motor Company (44,087자)
[9/45] Kia (26,342자)
[10/45] Volkswagen (67,514자)
[11/45] General Motors (49,303자)
[12/45] Samsung SDI (3,241자)
[13/45] SK Innovation (3,616자)
[14/45] CATL (11,853자)
[15/45] Panasonic (40,829자)
[16/45] Ultium (10,944자)
[17/45] Lithium (46,712자)
[18/45] Nickel (33,459자)
[19/45] Cobalt (42,082자)
[20/45] Charging station (39,594자)
[21/45] Inflation Reduction Act (95,265자)
[22/45] Hybrid electric vehicle (90,809자)
[23/45] Toyota (80,321자)
[24/45] Battery electric vehicle (26,850자)
[25/45] Electric car (35,946자)
[26/45] LG Chem (5,734자)
[27/45] Automotive industry (16,819자)
[28/45] Plug-in hybrid (77,213자)
[29/45] Rechargeable battery (24,564자)
[30/45] Electric battery (39,189자)
[31/45] Lithium nickel manganese cobalt oxides (8,805자)
[32/45] Nickel–cadmium battery (29,205자)
[33/45] BYD Auto (94,686자)
[34/45] Fuel cell (57,520자)
[35/45] Lithium iron phosphate (16,882자)
[36/45] Nickel–metal hydride battery (20,030자)
[37/45] Sodium-ion battery (36,146자)
[38/45] Tesla Model 3 (38,885자)
[39/45] Battery electric bus (12,919자)
[40/45] Cathode (16,288자)
[41/45] Electric truck (18,417자)
[42/45] Grid energy storage (23,536자)
[43/45] Kilowatt-hour (9,748자)
[44/45] Lithium cobalt oxide (4,506자)
[45/45] Lithium polymer battery (11,734자)
{
  "doc_count": 45,
  "total_chars": 1631207,
  "median_links": 12,
  "zero_link_titles": []
}
준비 완료: 45개 문서, 1631207자
ready: True
